Symbol,Tradable,DollarVolume,Price,Score,Rank,AsOf
KMT,Y,3.74714e+07,29.94,,,2026-09-23
KMX,Y,1.19698e+08,57.46,,,2026-09-23
KNX,Y,2.27595e+08,67.17,,,2026-09-23
KO,Y,1.29678e+09,88.09,,,2026-09-23
KR,Y,3.92221e+08,57.64,,,2026-09-23
KRC,Y,4.51308e+07,34.04,,,2026-09-23
KRG,Y,5.58574e+07,24.69,,,2026-09-23
KSS,Y,6.42943e+07,17.04,,,2026-09-23
KT,Y,2.46144e+07,19.45,,,2026-09-23
KTOS,Y,1.775e+08,46.16,-2.58162,69,2026-09-23
LAZ,Y,6.30796e+07,36.82,,,2026-09-23
LBTYA,Y,2.12488e+07,9.48,,,2026-09-23
LDOS,Y,1.63543e+08,124.69,,,2026-09-23
LEN,Y,2.03722e+08,81.52,,,2026-09-23
LHX,Y,3.67158e+08,239.21,,,2026-09-23
LIN,Y,9.79833e+08,469.72,,,2026-09-23
LKQ,Y,7.23795e+07,23.43,,,2026-09-23
LLY,Y,2.88497e+09,1150.99,,,2026-09-23
LMT,Y,5.83737e+08,524.68,,,2026-09-23
LNC,Y,7.74651e+07,41.08,,,2026-09-23
LNG,Y,4.61056e+08,273.61,,,2026-09-23
LNT,Y,1.53716e+08,63.69,,,2026-09-23
LOW,Y,6.23741e+08,191.36,,,2026-09-23
LPTH,Y,3.29261e+07,9.81,,,2026-09-23
LPX,Y,7.86839e+07,68.02,,,2026-09-23
LRCX,Y,2.86167e+09,307.28,2.88758,6,2026-09-23
LSCC,Y,1.85658e+08,121.66,,,2026-09-23
LULU,Y,3.46436e+08,102.28,-1.98248,64,2026-09-23
LUV,Y,2.28267e+08,41.04,,,2026-09-23
LVS,Y,2.07321e+08,39.19,,,2026-09-23
LYV,Y,3.07028e+08,169.03,,,2026-09-23
M,Y,1.19353e+08,22.24,,,2026-09-23
MA,Y,1.58029e+09,559.92,,,2026-09-23
MAA,Y,1.27868e+08,117.78,,,2026-09-23
MAC,Y,6.13799e+07,22.67,,,2026-09-23
MAN,Y,4.95793e+07,57.37,,,2026-09-23
MAR,Y,5.24981e+08,351.66,,,2026-09-23
MAS,Y,1.47723e+08,68.16,,,2026-09-23
MAT,Y,5.53516e+07,13.08,,,2026-09-23
MCD,Y,1.17014e+09,238.32,-1.60252,60,2026-09-23
MCHP,Y,7.11406e+08,75.53,,,2026-09-23
MCK,Y,7.97984e+08,880.5,,,2026-09-23
MDLZ,Y,4.77453e+08,61.44,,,2026-09-23
MDT,Y,6.70022e+08,89.3,,,2026-09-23
MDU,Y,2.78661e+07,18.39,,,2026-09-23
MET,Y,2.86069e+08,97.2,,,2026-09-23
MFC,Y,7.27464e+07,43.6,,,2026-09-23
MFG,Y,3.38624e+07,10.74,,,2026-09-23
MGA,Y,7.68981e+07,63.73,,,2026-09-23
MGM,Y,9.41521e+07,37.85,,,2026-09-23
MKC,Y,1.49917e+08,49.09,,,2026-09-23
MKSI,Y,3.75686e+08,262.72,,,2026-09-23
MKTX,Y,1.30066e+08,163.71,,,2026-09-23
MLI,Y,8.43515e+07,60.33,,,2026-09-23
MMM,Y,4.81266e+08,170.3,,,2026-09-23
MNRO,Y,1.22531e+07,14.02,,,2026-09-23
MNST,Y,4.50072e+08,43.91,,,2026-09-23
MO,Y,5.61501e+08,68.95,,,2026-09-23
MOD,Y,2.49173e+08,193.11,,,2026-09-23
